Объект,Полный адрес,Вид объекта,описание предмета охраны
Церковь Успенская, ,Памятник,"1. Градостроительные характеристики: Местоположение: центральная часть деревни Марыни Бежаницкого района Псковской области.  2. Объемно-пространственная композиция: Объёмно-планировочная композиция храма, состоящая из следующих частей: двухсветный объём (главная церковь) типа «восьмерик на четверике», к двусветному четверику с севера и юга примыкают симметрично расположенные придельные церкви (левая – Никольская, правая – теплая – Скорбящей Богоматери), объединенные притвором, а с востока - пятигранная апсида; к западному приделу по центральной оси примыкает столпообразная трехъярусная колокольня с папертью в первом ярусе.  3. Планировочные решения: Пространственно-планировочная структура интерьеров в пределах капитальных стен и перекрытий, в том числе сводчатые перекрытия: - малый барабан восьмерика и верхний ярус колокольни перекрыты сомкнутыми сводами; - нижний ярус колокольни - коробовым сводом; - оконные проемы абсиды и колокольни имеют распалубки. - местоположение, конфигурация, габариты внутристенной кирпичной лестницы, ведущей в объем колокольни.  4. Конструктивное решение, материал и техника исполнения: Тип кладки стен - кладка из красного кирпича.  5. Композиционное и архитектурное решение фасадов: Оформление оконных проемов церкви контрналичниками, состоящие из пилястр с обломами, «каблучками» и «валиками», и профильных фронтончиков, круглые и прямоугольные филенки на колокольне; многопрофильные карнизы; угловые пилястры четверика, спаренные пилястры на барабане; расположение и габариты прямоугольных с арочным завершением оконных и дверных проемов; форма и тип расстекловки оконных заполнений восьмерика; кубоватые решетки на окнах четверика.  5. Архитектурно-художественное оформление интерьеров: Элементы декоративного оформления интерьеров: форма, габариты, местоположение овальных, прямоугольных и с арочным завершением ниш во внутренних стенах центральной части четверика и северного придела; металлические стяжки, связи в кладке сводов и стен; откосы оконных проемов восьмерика с «рассветами»; кованная металлическая дверь со стороны северного фасада; каменные лещадные полы в четверике."
"Братская могила воинов Советской Армии, погибших в 1944 г.", ,Памятник,
Ансамбль зданий усадьбы Строганова с парком, ,Ансамбль,
Дом общества крестьян Псковоградской волости, ,Памятник,
Ансамбль Спасо-Елеазаровского монастыря, ,Ансамбль, 
Усадьба городская Тарапова Л.И. Главный дом, ,Памятник,
Локомотиво-ремонтный завод - центр революционных выступлений рабочих  в 1905 г., ,Памятник,"1. Градостроительные характеристики: Местоположение (южнее железнодорожной станции Великие Луки, в квартале, ограниченном улицами Привокзальной, Линейной, Малышева (быв. ул. Красный поселок и Транспортное шоссе) и Новоселенинской) и градостроительная роль памятника в формировании планировочной и композиционно-пространственной структуры города Великие Луки; - элементы планировки застроенной территории, - историческое функциональное зонирование территории.  2. Пространственные и планировочные характеристики: Объемно-пространственная и планировочная структура памятника, включающая, в том числе: - соотношение застроенных и незастроенных пространств, композиционное взаимодействие зданий и сооружений.  3. Архитектурные характеристики, элементы застройки и благоустройства: Объекты исторической застройки, участвующие в формировании памятника (их местоположение, габариты и высотные отметки), в том числе фрагменты фундаментов и капитальных стен зданий цехов; тип кладки стен - кирпичная кладка; местоположение, габариты, форма оконных и дверных проемов."
Здание где в разные годы учились в школе Герои Советского Союза Петров Алексей Иванович и Сергеев Владимир Федорович, ,Памятник,
Часовня Иллариона Псковозерского (Гдовского), ,Памятник,
Усадьба крестьянская. Дом жилой со службами. , ,Памятник,
