Объект,Полный адрес,Вид объекта,Принадлежность к Юнеско,описание предмета охраны
Церковь Успенская, ,Памятник,Не принадлежит Юнеско,"1. Градостроительные характеристики: Местоположение: центральная часть деревни Марыни Бежаницкого района Псковской области.  2. Объемно-пространственная композиция: Объёмно-планировочная композиция храма, состоящая из следующих частей: двухсветный объём (главная церковь) типа «восьмерик на четверике», к двусветному четверику с севера и юга примыкают симметрично расположенные придельные церкви (левая – Никольская, правая – теплая – Скорбящей Богоматери), объединенные притвором, а с востока - пятигранная апсида; к западному приделу по центральной оси примыкает столпообразная трехъярусная колокольня с папертью в первом ярусе.  3. Планировочные решения: Пространственно-планировочная структура интерьеров в пределах капитальных стен и перекрытий, в том числе сводчатые перекрытия: - малый барабан восьмерика и верхний ярус колокольни перекрыты сомкнутыми сводами; - нижний ярус колокольни - коробовым сводом; - оконные проемы абсиды и колокольни имеют распалубки. - местоположение, конфигурация, габариты внутристенной кирпичной лестницы, ведущей в объем колокольни.  4. Конструктивное решение, материал и техника исполнения: Тип кладки стен - кладка из красного кирпича.  5. Композиционное и архитектурное решение фасадов: Оформление оконных проемов церкви контрналичниками, состоящие из пилястр с обломами, «каблучками» и «валиками», и профильных фронтончиков, круглые и прямоугольные филенки на колокольне; многопрофильные карнизы; угловые пилястры четверика, спаренные пилястры на барабане; расположение и габариты прямоугольных с арочным завершением оконных и дверных проемов; форма и тип расстекловки оконных заполнений восьмерика; кубоватые решетки на окнах четверика.  5. Архитектурно-художественное оформление интерьеров: Элементы декоративного оформления интерьеров: форма, габариты, местоположение овальных, прямоугольных и с арочным завершением ниш во внутренних стенах центральной части четверика и северного придела; металлические стяжки, связи в кладке сводов и стен; откосы оконных проемов восьмерика с «рассветами»; кованная металлическая дверь со стороны северного фасада; каменные лещадные полы в четверике."
"Братская могила воинов Советской Армии, погибших в 1944 г.", ,Памятник,Не принадлежит Юнеско,
Ансамбль зданий усадьбы Строганова с парком, ,Ансамбль,Не принадлежит Юнеско,
Дом общества крестьян Псковоградской волости, ,Памятник,Не принадлежит Юнеско,
Ансамбль Спасо-Елеазаровского монастыря, ,Ансамбль,Не принадлежит Юнеско, 
Усадьба городская Тарапова Л.И. Главный дом, ,Памятник,Не принадлежит Юнеско,
Локомотиво-ремонтный завод - центр революционных выступлений рабочих  в 1905 г., ,Памятник,Не принадлежит Юнеско,"1. Градостроительные характеристики: Местоположение (южнее железнодорожной станции Великие Луки, в квартале, ограниченном улицами Привокзальной, Линейной, Малышева (быв. ул. Красный поселок и Транспортное шоссе) и Новоселенинской) и градостроительная роль памятника в формировании планировочной и композиционно-пространственной структуры города Великие Луки; - элементы планировки застроенной территории, - историческое функциональное зонирование территории.  2. Пространственные и планировочные характеристики: Объемно-пространственная и планировочная структура памятника, включающая, в том числе: - соотношение застроенных и незастроенных пространств, композиционное взаимодействие зданий и сооружений.  3. Архитектурные характеристики, элементы застройки и благоустройства: Объекты исторической застройки, участвующие в формировании памятника (их местоположение, габариты и высотные отметки), в том числе фрагменты фундаментов и капитальных стен зданий цехов; тип кладки стен - кирпичная кладка; местоположение, габариты, форма оконных и дверных проемов."
Здание где в разные годы учились в школе Герои Советского Союза Петров Алексей Иванович и Сергеев Владимир Федорович, ,Памятник,Не принадлежит Юнеско,
Часовня Иллариона Псковозерского (Гдовского), ,Памятник,Не принадлежит Юнеско,
Усадьба крестьянская. Дом жилой со службами. , ,Памятник,Не принадлежит Юнеско,
Ограда с бюстами,   ,Памятник,Не принадлежит Юнеско,"1. Объемно-пространственное и планировочное решение:исторические конфигурация, габариты,  местоположение ограды, расположенной по западной границе участка (по красной линии набережной Ново-Адмиралтейского канала).  2. Конструктивная система :глухая кирпичная стена – в уровне 1-го этажа.3. Архитектурно-художественное решение фасадов:материал   и   характер отделки   цоколя – известняк; материал и характер отделки фасада – окрашенная штукатурка, руст квадром;плоскость стены с прямоугольными нишами с тройными замковыми камнями;с широкой профилированной тягой, окрытой металлом;с балюстрадным ограждением из фигурных балясин и парапетных филенчатых тумб между ними;на тумбах установлены 12 бюстов римских императоров (бетон, литье) на низких квадратных постаментах."
Ворота,"  Московская область, Коломенский г.о., г. Коломна, Октябрьской революции ул.",Памятник,Не принадлежит Юнеско,
Церковь Рождества Богородицы,"  Рязанская область, Касимовский район, с. Перво",Памятник,Не принадлежит Юнеско,"градостроительная характеристика здания, расположенного на возвышенном месте, в центральной части  села;  объемно-пространственная композиция церкви, возведённой в I-й пол.   XVIII в., построенная из однокупольного бесстолпного двухсветного, квадратного в плане, четверика, полукруглой апсиды, трапезной с северным Никольским приделом и двухъярусной колокольни (восьмерик на четверике, второй ярус сильно вытянут); позолоченный луковицевидный купол, венчающий низкого подъема сферический купол четверика; восьмигранный шлемовидный купол колокольни, увенчанный двойным коническим усеченным восьмигранным куполком; четырехконечные кресты с шаром в основании; двухскатная крыша трапезной; полукупол апсиды; габариты и высотные отметки;  местоположение, габариты, конфигурация и оформление дверных и оконных проемов здания; прямоугольная форма окон четверика и трапезной, прямоугольная с лучковым завершением форма оконных проемов апсиды; арочные проемы, декорированные белокаменным замковым камнем, прорезывающие четверик колокольни (южный и северный проемы в настоящее время заложены); арочные проемы звонов колокольни; наличники, повторяющие форму окон (в трапезной и четверике дополнены треугольными сандриками); прямоугольная форма южного дверного проема и арочная – западного, а также материал и характер заполнения дверных и оконных проемов: деревянные окна, деревянные и металлические двери;  композиция и архитектурно-художественное оформление фасада, характерного для первой половины XVIII в., включая основные элементы декоративного убранства, которыми являются: лопатки, фланкирующие углы четверика, трапезной и колокольни, раскрепованные на уровне тяг (пилястры второго яруса колокольни членятся на равные части посредством карнизных поясков); подкарнизный поясок апсиды (образованный двумя рядами продольных тяг, между которыми расположены поставленные на вершину квадратные филенки), переходящий в северную и южную плоскости четверика; высокий рельефно выделенный цоколь первого яруса колокольни; надцокольный, междуярусный и венчающий профилированные карнизы; квадратные белокаменные вставки, расположенные в гранях колокольни, в первом ярусе, имеющие нишу в виде креста, во втором ярусе с восьмигранной нишей; белокаменная профилированная тяга, проходящая над арочными проемами и опоясывающая поверху второй ярус колокольни;   конструкции капитальных кирпичных фундаментов; кирпичных стен; перекрытий (трапезная и придел перекрыты системой цилиндрических сводов с распалубками, сам храм кубическим сводом, апсида – полусферой, второй ярус колокольни перекрыт восьмидольным сводом);    материал и техника кладки капитальных стен: красный кирпич; кровля над трапезной, четвериком, апсидой: листовой металл; у купола колокольни:  металл «под золото» в шашечку квадратной формы; материал архитектурных деталей – красный кирпич и белый камень;   художественный металл: кованые решётки, состоящие из диагональных ячеек с перехватами в местах пересечения прутьев;   характер обработки фасадной поверхности здания, неоштукатуренные поверхности наружных стен, включая облицованный белым камнем цоколь.    "
Дом жилой со встроенным магазином," Алтайский край,  г. Барнаул,  пр-кт Калинина, 18/ ул. Сизова, 53",Памятник,Не принадлежит Юнеско,
"Памятник-мемориал в честь односельчан, погибших на фронтах Великой Отечественной войны"," Амурская область, Магдагачинский район, с. Черняево, центральный сквер села",Памятник,Не принадлежит Юнеско,"Предметом охраны объектов культурного наследия регионального значения   «Памятник – мемориал в честь односельчан, погибших на фронтах Великой Отечественной войны»,   «Памятник в честь 120-летия основания с. Черняево»,   «Братская могила советских пограничников» являются:  имеющееся захоронение (останки);   существующее местоположение;  конструктивное и архитектурно-художественное решение надмогильного сооружения, состоящего из: двухступенчатого прямоугольного основания, кубического постамента, пирамидального обелиска, увенчанного пятиконечной звездой, памятной доски с надписью: «Здесь похоронены пограничники, геройски павшие в Виссимунском бою при обороне границы СССР 3.08.1929/ Сарапульцев Н.И./ Шешуков П.А./ Ростовцев В.Е./ Белкин Л.И./ Новичугов И.»;  художественно-образное и композиционное решение монумента, состоящего из:  дугообразной двухступенчатой стелы, увенчанной объемным изображением колосьев, обвитых лентой и перекрещенных серпа и молота, мемориальной таблички с датой «1858»;  ступенчатой многоуровневой горизонтальной стелы, изображения ордена Отечественной войны, 8 памятных табличек с именами погибших воинов – жителей с. Черняево, мемориальной таблички с надписью: «Живые, помните!», 8 памятных табличек с именами жителей села, вернувшихся с войны, мемориальной надписи: «Они вернулись с войны», размещенной на трех табличках, двух объемных стилизованных изображений приспущенных знамен;  габариты и конфигурация элементов памятника;  характер обработки поверхности элементов памятника: штукатурка и окраска поверхностей постамента;  основные материалы, использованные при возведении монумента: бетон, металл, мрамор, пластик.  "
